UUHS061,Pass123!,Abigail,Ross,abigail.ross@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS062,Pass123!,Liam,Bell,liam.bell@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS063,Pass123!,Erin,Moore,erin.moore@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS064,Pass123!,Gabriel,Morgan,gabriel.morgan@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS065,Pass123!,Zachary,Cooper,zachary.cooper@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS066,Pass123!,Hailey,Parker,hailey.parker@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS067,Pass123!,Olivia,Roberts,olivia.roberts@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS068,Pass123!,Matthew,Foster,matthew.foster@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS069,Pass123!,Elijah,Howard,elijah.howard@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS070,Pass123!,Lillian,Patterson,lillian.patterson@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS071,Pass123!,Jacob,Cole,jacob.cole@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS072,Pass123!,Layla,Griffin,layla.griffin@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS073,Pass123!,Daniel,Warren,daniel.warren@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS074,Pass123!,Zoe,Foster,zoe.foster@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS075,Pass123!,Sebastian,Sanders,sebastian.sanders@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;Pass123
UUHS076,Pass123!,Chloe,Morris,chloe.morris@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS077,Pass123!,Alexander,Evans,alexander.evans@uuhs.edu,Bachelor of Pharmacology,student;;;;;;;;;;;
UUHS078,Pass123!,Ellie,Price,ellie.price@uuhs.edu,Bachelor of Pharmacology,student;;;;;;;;;;;
UUHS079,Pass123!,Jack,Phillips,jack.phillips@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS080,Pass123!,Sophia,Murphy,sophia.murphy@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS081,Pass123!,James,Perry,james.perry@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS082,Pass123!,Brooklyn,Reyes,brooklyn.reyes@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS083,Pass123!,Benjamin,Foster,benjamin.foster@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS084,Pass123!,Mia,Jones,mia.jones@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS085,Pass123!,Lucas,Harris,lucas.harris@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS086,Pass123!,Victoria,Reed,victoria.reed@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS087,Pass123!,Madison,Peterson,madison.peterson@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS088,Pass123!,Joseph,Bailey,joseph.bailey@uuhs.edu,Bachelor of Public Health,student;;;;;;;;;;;
UUHS089,Pass123!,Aiden,Ortiz,aiden.ortiz@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS090,Pass123!,Emily,Gomez,emily.gomez@uuhs.edu,Diploma in Public Health,student;;;;;;;;;;;
UUHS091,Pass123!,Elena,Diaz,elena.diaz@uuhs.edu,Bachelor of Pharmacology,student;;;;;;;;;;;
UUHS092,Pass123!,Owen,Rodriguez,owen.rodriguez@uuhs.edu,Bachelor of Pharmacology,student;;;;;;;;;;;
UUHS093,Pass123!,Evelyn,Hughes,evelyn.hughes@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS094,Pass123!,Grace,Watson,grace.watson@uuhs.edu,Bachelor of Science in Nursing,student;;;;;;;;;;;
UUHS095,Pass123!,Logan,Edwards,logan.edwards@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS096,Pass123!,Avery,Stewart,avery.stewart@uuhs.edu,Diploma in Pediatric Nursing,student;;;;;;;;;;;
UUHS097,Pass123!,Levi,Scott,levi.scott@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS098,Pass123!,Scarlett,Martinez,scarlett.martinez@uuhs.edu,Certificate in Maternity Nursing,student;;;;;;;;;;;
UUHS099,Pass123!,Wyatt,Perez,wyatt.perez@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
UUHS100,Pass123!,Emily,Bennett,emily.bennett@uuhs.edu,Certificate in Emergency Care,student;;;;;;;;;;;
